i,range_m
0,0.43200
1,0.43550
2,0.43550
3,0.43850
4,0.44100
5,0.44200
6,0.44800
7,0.44800
8,0.45150
9,0.45600
10,0.45600
11,0.46125
12,0.46500
13,0.46900
14,0.46900
15,0.47450
16,0.47950
17,0.48450
18,0.48450
19,0.48975
20,0.49475
21,0.49925
22,0.49925
23,0.50525
24,0.51100
25,0.51100
26,0.51575
27,0.52175
28,0.52175
29,0.52850
30,0.53550
31,0.54250
32,0.54250
33,0.55050
34,0.55850
35,0.55850
36,0.56650
37,0.57550
38,0.58500
39,0.58500
40,0.59500
41,0.60450
42,0.60450
43,0.61425
44,0.62500
45,0.63525
46,0.63525
47,0.64575
48,0.65725
49,0.65725
50,0.66950
51,0.68150
52,0.68150
53,0.69375
54,0.70625
55,0.71850
56,0.71850
57,0.73200
58,0.74775
59,0.74775
60,0.76450
61,0.78100
62,0.79750
63,0.79750
64,0.81500
65,0.83300
66,0.83300
67,0.85300
68,0.87250
69,0.87250
70,0.89025
71,0.90825
72,0.93125
73,0.93125
74,-1.00000
75,-1.00000
76,-1.00000
77,-1.00000
78,-1.00000
79,-1.00000
80,-1.00000
81,-1.00000
82,-1.00000
83,-1.00000
84,-1.00000
85,-1.00000
86,1.30275
87,1.30275
88,1.28750
89,1.29275
90,1.29275
91,-1.00000
92,-1.00000
93,-1.00000
94,-1.00000
95,-1.00000
96,1.91500
97,1.91500
98,1.93400
99,1.93650
100,1.94200
101,1.94200
102,1.95200
103,1.96800
104,1.96800
105,1.97350
106,1.98050
107,1.98050
108,1.99550
109,2.00550
110,2.01400
111,2.01400
112,2.02550
113,2.03750
114,2.03750
115,2.04800
116,2.05700
117,2.05950
118,2.05950
119,2.06800
120,-1.00000
121,1.81325
122,1.81325
123,-1.00000
124,1.71525
125,1.71525
126,1.66650
127,1.62150
128,1.62150
129,1.59575
130,1.58950
131,1.57775
132,1.57775
133,1.54900
134,1.51825
135,1.51825
136,1.52600
137,1.56275
138,1.56275
139,1.58875
140,1.60900
141,1.61550
142,1.61550
143,1.60950
144,1.60975
145,1.60975
146,1.61400
147,1.62350
148,1.63950
149,1.63950
150,1.65125
151,1.66100
152,1.66100
153,-1.00000
154,-1.00000
155,2.49800
156,2.49800
157,-1.00000
158,-1.00000
159,-1.00000
160,-1.00000
161,-1.00000
162,1.36725
163,1.36725
164,-1.00000
165,-1.00000
166,-1.00000
167,-1.00000
168,2.64850
169,2.64850
170,-1.00000
171,-1.00000
172,2.90325
173,2.90325
174,2.95550
175,2.99050
176,3.03250
177,3.03250
178,3.07400
179,-1.00000
180,-1.00000
181,-1.00000
182,-1.00000
183,2.93600
184,2.93600
185,2.94050
186,2.95675
187,2.95675
188,2.97750
189,-1.00000
190,2.06500
191,2.06500
192,2.02550
193,-1.00000
194,-1.00000
195,0.54650
196,0.54650
197,-1.00000
198,1.86150
199,1.86150
200,1.88900
201,1.88900
202,1.90450
203,1.90100
204,1.90100
205,-1.00000
206,-1.00000
207,-1.00000
208,-1.00000
209,-1.00000
210,1.41500
211,1.41500
212,1.42700
213,1.44400
214,1.46150
215,1.46150
216,1.47650
217,1.49050
218,1.49050
219,1.50450
220,1.51700
221,1.51700
222,1.52950
223,1.54400
224,-1.00000
225,0.95200
226,0.95200
227,0.93250
228,0.93250
229,0.91450
230,0.90450
231,0.90000
232,0.90000
233,-1.00000
234,-1.00000
235,-1.00000
236,-1.00000
237,-1.00000
238,-1.00000
239,0.11450
240,0.11450
241,0.11450
242,0.11450
243,0.10850
244,0.10850
245,-1.00000
246,0.10100
247,0.10100
248,0.10050
249,0.10050
250,0.10100
251,0.10100
252,0.10100
253,0.10050
254,0.09850
255,-1.00000
256,0.09050
257,0.09050
258,0.08950
259,0.08950
260,-1.00000
261,-1.00000
262,-1.00000
263,-1.00000
264,-1.00000
265,0.20850
266,0.20850
267,-1.00000
268,-1.00000
269,-1.00000
270,0.09400
271,0.09400
272,0.09400
273,0.09400
274,0.10550
275,0.10550
276,0.10750
277,0.10750
278,0.10800
279,0.10650
280,0.10650
281,0.10350
282,-1.00000
283,-1.00000
284,0.09200
285,0.09200
286,-1.00000
287,-1.00000
288,-1.00000
289,0.85350
290,0.85350
291,0.86200
292,0.86550
293,0.87150
294,0.87150
295,0.87750
296,0.88000
297,0.88000
298,7.03400
299,7.03400
300,7.03750
301,7.03750
302,7.03900
303,-1.00000
304,0.86900
305,0.86900
306,-1.00000
307,-1.00000
308,0.38650
309,0.38650
310,0.38500
311,0.38500
312,0.38250
313,-1.00000
314,-1.00000
315,-1.00000
316,-1.00000
317,-1.00000
318,-1.00000
319,-1.00000
320,-1.00000
321,-1.00000
322,-1.00000
323,-1.00000
324,-1.00000
325,-1.00000
326,-1.00000
327,-1.00000
328,-1.00000
329,-1.00000
330,-1.00000
331,-1.00000
332,-1.00000
333,-1.00000
334,-1.00000
335,-1.00000
336,-1.00000
337,-1.00000
338,-1.00000
339,-1.00000
340,-1.00000
341,-1.00000
342,-1.00000
343,-1.00000
344,-1.00000
345,-1.00000
346,-1.00000
347,-1.00000
348,-1.00000
349,-1.00000
350,-1.00000
351,-1.00000
352,-1.00000
353,-1.00000
354,-1.00000
355,-1.00000
356,-1.00000
357,-1.00000
358,-1.00000
359,-1.00000
360,-1.00000
361,-1.00000
362,-1.00000
363,-1.00000
364,-1.00000
365,-1.00000
366,-1.00000
367,-1.00000
368,-1.00000
369,-1.00000
370,-1.00000
371,-1.00000
372,-1.00000
373,-1.00000
374,-1.00000
375,-1.00000
376,-1.00000
377,-1.00000
378,-1.00000
379,-1.00000
380,-1.00000
381,-1.00000
382,-1.00000
383,-1.00000
384,-1.00000
385,-1.00000
386,-1.00000
387,-1.00000
388,-1.00000
389,-1.00000
390,-1.00000
391,-1.00000
392,-1.00000
393,-1.00000
394,-1.00000
395,-1.00000
396,-1.00000
397,-1.00000
398,-1.00000
399,-1.00000
400,-1.00000
401,-1.00000
402,-1.00000
403,-1.00000
404,-1.00000
405,-1.00000
406,-1.00000
407,-1.00000
408,-1.00000
409,-1.00000
410,-1.00000
411,-1.00000
412,-1.00000
413,-1.00000
414,0.66000
415,0.66000
416,-1.00000
417,0.62650
418,0.62650
419,0.62250
420,0.62250
421,0.62000
422,0.61750
423,0.61750
424,0.61650
425,-1.00000
426,-1.00000
427,-1.00000
428,-1.00000
429,-1.00000
430,-1.00000
431,-1.00000
432,-1.00000
433,-1.00000
434,-1.00000
435,-1.00000
436,-1.00000
437,0.11200
438,0.11200
439,-1.00000
440,-1.00000
441,-1.00000
442,-1.00000
443,-1.00000
444,0.83650
445,0.83650
446,0.82800
447,0.82800
448,0.82500
449,0.82300
450,0.81850
451,0.81850
452,-1.00000
453,-1.00000
454,0.53050
455,0.53050
456,0.52500
457,0.52500
458,0.80750
459,0.80750
460,0.80100
461,0.80100
462,-1.00000
463,0.49800
464,0.49800
465,0.49000
466,-1.00000
467,0.79875
468,0.79875
469,0.79725
470,0.79675
471,0.79675
472,0.79625
473,0.79525
474,0.79425
475,0.79425
476,0.79425
477,0.79450
478,0.79450
479,0.79600
480,0.79600
481,0.79500
482,0.79500
483,-1.00000
484,-1.00000
485,0.79325
486,0.79325
487,0.79700
488,0.79700
489,0.79800
490,0.79900
491,0.79900
492,0.80025
493,0.80200
494,0.80325
495,0.80325
496,0.80325
497,0.80475
498,0.80475
499,0.80700
500,0.80875
501,0.81025
502,0.81025
503,0.81250
504,0.81400
505,0.81550
506,0.81550
507,0.81900
508,0.82150
509,0.82150
510,0.82375
511,0.82675
512,0.82675
513,0.82950
514,0.83275
515,0.83675
516,0.83675
517,0.84075
518,0.84325
519,0.84200
520,0.84200
521,0.84850
522,-1.00000
523,0.73150
524,0.73150
525,0.74850
526,-1.00000
527,0.77950
528,0.77950
529,-1.00000
530,0.86200
531,0.86200
532,0.84050
533,0.81900
534,0.81900
535,0.79900
536,0.78000
537,0.78000
538,0.76200
539,0.74500
540,0.72950
541,0.72950
542,0.71550
543,0.70200
544,0.70200
545,0.68800
546,0.67450
547,0.67450
548,0.66150
549,0.65050
550,0.64050
551,0.64050
552,0.62900
553,0.61800
554,0.61800
555,0.60900
556,0.59900
557,0.59000
558,0.59000
559,0.58100
560,0.57150
561,0.57150
562,0.56350
563,0.55450
564,0.55450
565,0.54650
566,0.54050
567,0.53400
568,0.53400
569,0.52700
570,0.52050
571,0.52050
572,0.51300
573,0.50600
574,0.50000
575,0.50000
576,0.49500
577,0.48850
578,0.48850
579,0.48300
580,0.47800
581,0.47250
582,0.47250
583,0.46900
584,0.46500
585,0.46500
586,0.46000
587,0.45600
588,0.45175
589,0.45175
590,0.44725
591,0.44450
592,0.44450
593,0.44050
594,0.43650
595,0.43650
596,0.43250
597,0.42900
598,0.42700
599,0.42700
600,0.42275
601,0.41925
602,0.41925
603,0.41650
604,0.41250
605,0.41075
606,0.41075
607,0.41025
608,0.40750
609,0.40750
610,0.40300
611,0.40075
612,0.39925
613,0.39925
614,0.39650
615,0.39500
616,0.39500
617,0.39375
618,0.39175
619,0.39050
620,0.39050
621,0.38875
622,0.38825
623,0.38825
624,0.38725
625,0.38475
626,0.38475
627,0.38375
628,0.38250
629,0.38250
630,0.38175
631,0.38050
632,0.37850
633,0.37850
634,0.37725
635,0.37575
636,0.37575
637,0.37450
638,0.37375
639,0.37250
640,0.37250
641,0.37150
642,0.37150
643,0.37150
644,0.37125
645,0.37075
646,0.37075
647,0.37050
648,0.37000
649,0.36900
650,0.36900
651,0.36925
652,0.36975
653,0.36975
654,0.36875
655,0.36775
656,0.36850
657,0.36850
658,0.36875
659,0.36800
660,0.36800
661,0.36875
662,0.36925
663,0.36950
664,0.36925
665,0.36925
666,0.36950
667,0.37100
668,0.37100
669,0.37150
670,0.37250
671,0.37300
672,0.37300
673,0.37350
674,0.37350
675,0.37350
676,0.37350
677,0.37450
678,0.37450
679,0.37500
680,0.37425
681,0.37425
682,0.37425
683,0.37600
684,0.37750
685,0.37750
686,0.37850
687,0.38075
688,0.38075
689,0.38375
690,0.38500
691,0.38600
692,0.38600
693,0.38700
694,0.38800
695,0.38800
696,0.39000
697,0.39150
698,0.39150
699,0.39300
700,0.39550
701,0.39550
702,0.39750
703,0.39900
704,0.39900
705,0.40300
706,0.40550
707,0.40600
708,0.40600
709,0.40850
710,0.41200
711,0.41450
712,0.41450
713,0.41700
714,0.42000
715,0.42000
716,0.42200
717,0.42450
718,0.42450
719,0.42850
