x y
0.9820 -0.2914
0.9874 -0.2886
0.9864 -0.2734
0.9853 -0.2587
0.9905 -0.2559
0.9893 -0.2417
0.9889 -0.2293
0.9888 -0.2178
0.9936 -0.2149
0.9925 -0.2022
0.9914 -0.1900
0.9960 -0.1871
0.9957 -0.1767
0.9947 -0.1654
0.9941 -0.1550
0.9984 -0.1522
0.9975 -0.1418
0.9962 -0.1312
1.0003 -0.1283
0.9996 -0.1189
0.9982 -0.1087
1.0020 -0.1058
1.0010 -0.0966
1.0011 -0.0889
1.0007 -0.0809
1.0043 -0.0780
1.0035 -0.0696
1.0028 -0.0617
1.0063 -0.0587
1.0048 -0.0501
1.0035 -0.0419
1.0027 -0.0345
1.0060 -0.0316
1.0057 -0.0250
1.0044 -0.0173
1.0075 -0.0143
1.0066 -0.0074
1.0061 -0.0009
1.0051 0.0059
1.0079 0.0089
1.0082 0.0143
1.0081 0.0200
1.0109 0.0230
1.0099 0.0293
1.0095 0.0350
1.0089 0.0408
1.0115 0.0438
1.0106 0.0497
1.0109 0.0544
1.0134 0.0574
1.0127 0.0629
1.0119 0.0684
1.0142 0.0714
1.0133 0.0769
1.0127 0.0820
1.0133 0.0862
1.0155 0.0892
1.0141 0.0947
1.0133 0.0997
1.0154 0.1028
1.0151 0.1073
1.0137 0.1125
1.0142 0.1165
1.0161 0.1196
1.0175 0.1229
1.0170 0.1274
1.0188 0.1304
1.0167 0.1357
1.0165 0.1399
1.0169 0.1437
1.0186 0.1468
1.0178 0.1511
1.0180 0.1549
1.0196 0.1580
1.0200 0.1616
1.0197 0.1656
1.0201 0.1692
1.0215 0.1723
1.0213 0.1761
1.0223 0.1794
1.0236 0.1825
1.0240 0.1860
1.0230 0.1901
1.0243 0.1932
1.0246 0.1967
1.0246 0.2003
1.0258 0.2034
1.0262 0.2068
1.0262 0.2104
1.0253 0.2141
1.0264 0.2173
1.0262 0.2208
1.0258 0.2244
1.0268 0.2275
1.0265 0.2310
1.0267 0.2344
1.0263 0.2379
1.0272 0.2410
1.0270 0.2444
1.0278 0.2476
1.0286 0.2507
1.0291 0.2539
1.0293 0.2572
1.0300 0.2604
1.0304 0.2636
1.0305 0.2669
1.0301 0.2702
1.0307 0.2734
1.0314 0.2765
1.0324 0.2796
1.0329 0.2828
1.0324 0.2862
1.0318 0.2895
1.0329 0.2926
1.0333 0.2958
1.0339 0.2990
1.0334 0.3023
