x y
1.0592 0.5171
1.0608 0.5220
1.0592 0.5254
1.0602 0.5302
1.0607 0.5347
1.0598 0.5386
1.0633 0.5448
1.0615 0.5483
1.0627 0.5534
1.0647 0.5591
1.0628 0.5625
1.0653 0.5686
1.0665 0.5740
1.0678 0.5796
1.0656 0.5831
1.0681 0.5895
1.0701 0.5957
1.0720 0.6019
1.0696 0.6055
1.0716 0.6119
1.0733 0.6183
1.0745 0.6245
1.0719 0.6280
1.0742 0.6351
1.0762 0.6421
1.0735 0.6456
1.0745 0.6521
1.0765 0.6594
1.0736 0.6629
1.0760 0.6707
1.0784 0.6788
1.0807 0.6869
1.0777 0.6905
1.0806 0.6994
1.0833 0.7083
1.0801 0.7119
1.0826 0.7209
1.0858 0.7307
1.0892 0.7410
1.0856 0.7446
1.0891 0.7553
1.0921 0.7657
1.0884 0.7694
1.0913 0.7802
1.0948 0.7917
1.0977 0.8029
1.0936 0.8067
1.0965 0.8182
1.0998 0.8306
1.0955 0.8344
1.0990 0.8475
1.1022 0.8605
1.0976 0.8642
1.1006 0.8776
1.1036 0.8911
1.1062 0.9046
1.1012 0.9085
1.1043 0.9230
1.1084 0.9396
1.1031 0.9434
1.1074 0.9609
1.1114 0.9783
1.1150 0.9958
1.1092 0.9997
1.1130 1.0182
1.1167 1.0372
1.1106 1.0411
1.1149 1.0619
1.1186 1.0825
1.1121 1.0864
1.1144 1.1056
1.1166 1.1252
1.1209 1.1491
1.1138 1.1531
1.1584 1.5425
1.1478 1.5468
1.1317 1.5367
1.1231 1.5456
1.1125 1.5496
1.2318 2.1658
1.2158 2.1707
1.2050 2.1937
1.1894 2.2007
1.1746 2.2105
1.1582 2.2149
1.1442 2.2288
1.1314 2.2484
1.1146 2.2524
1.0991 2.2616
1.0837 2.2722
1.0668 2.2757
1.0527 2.2939
1.0374 2.3070
1.0217 2.3185
1.0044 2.3215
0.9888 2.3358
0.9731 2.3504
0.9555 2.3530
0.9393 2.3658
0.9226 2.3771
0.9051 2.3817
0.8872 2.3837
0.8701 2.3940
0.8136 2.1433
0.7978 2.1445
0.7608 2.0487
0.7458 2.0494
0.7290 2.0013
0.7132 1.9568
0.6990 1.9572
0.6846 1.9317
0.6706 1.9255
0.6568 1.9137
0.6430 1.9136
0.6299 1.8846
0.6174 1.8534
0.6041 1.8529
0.5905 1.8601
0.5750 1.8960
0.5614 1.8952
0.5458 1.9201
0.5302 1.9392
0.5156 1.9444
0.5015 1.9430
0.4882 1.9355
0.4742 1.9342
0.4602 1.9324
0.4457 1.9348
0.4303 1.9422
0.4138 1.9558
0.3997 1.9536
0.3835 1.9627
0.3676 1.9698
0.3533 1.9671
0.1311 2.7758
0.1098 2.7711
0.2926 1.6510
0.2811 1.6477
-0.1908 2.8418
-0.2126 2.8342
-0.3687 3.0482
-0.3923 3.0391
-0.4354 3.0782
-0.4727 3.1008
-0.6388 2.9656
-0.6617 2.9541
-0.6866 2.9464
-0.7170 2.9488
-0.7398 2.9367
-0.7725 2.9424
-0.3628 2.1259
-0.3784 2.1169
-0.3736 2.0738
0.3740 0.7973
0.3700 0.7948
-0.3717 1.8807
-0.3852 1.8716
-0.4143 1.8849
-0.4278 1.8754
-0.4503 1.8783
-0.4617 1.8657
-0.4750 1.8558
-0.2411 1.4211
-0.2506 1.4131
-0.2678 1.4142
-0.2885 1.4187
-0.3096 1.4233
-0.3190 1.4147
-0.3387 1.4171
-0.3577 1.4184
-0.3671 1.4094
-0.3862 1.4103
-0.4044 1.4099
-0.4138 1.4005
-0.4320 1.3997
-0.4518 1.4001
-0.0342 0.9799
-0.0398 0.9738
-0.0307 0.9547
-0.0361 0.9485
-0.0278 0.9307
-0.0253 0.9181
-0.0269 0.9092
-0.0319 0.9031
0.5738 0.4026
0.5733 0.4018
0.5727 0.4009
0.5721 0.4001
0.5766 0.3960
0.5761 0.3952
0.5814 0.3896
0.5809 0.3888
0.5809 0.3878
0.5804 0.3871
0.5796 0.3866
0.5791 0.3858
0.5787 0.3850
0.5787 0.3840
0.5801 0.3823
0.5864 0.3771
0.5860 0.3764
0.5866 0.3753
0.5862 0.3746
0.4744 0.4159
0.4737 0.4142
0.5787 0.3682
0.5784 0.3674
0.5781 0.3667
0.5779 0.3659
0.5667 0.3687
0.5664 0.3678
0.5642 0.3675
0.5639 0.3666
0.5632 0.3658
0.5644 0.3645
0.5641 0.3636
0.5668 0.3620
0.5774 0.3567
0.5772 0.3559
-0.1722 0.4918
-0.1735 0.4845
-0.1831 0.4785
-0.1878 0.4716
-0.1949 0.4651
-0.1960 0.4575
-0.2030 0.4508
-0.2064 0.4435
-0.2073 0.4358
-0.2008 0.3816
-0.2012 0.3740
0.2806 0.3428
0.2805 0.3394
0.2820 0.3360
0.2820 0.3327
0.2846 0.3293
0.2613 -0.1846
0.2658 -0.1881
0.2950 -0.1681
0.2994 -0.1713
0.3061 -0.1712
0.3106 -0.1744
0.3165 -0.1754
0.3224 -0.1764
0.3268 -0.1794
0.3319 -0.1815
0.6172 0.2357
0.6181 0.2353
0.3413 -0.4345
0.3481 -0.4373
0.3580 -0.4322
0.3648 -0.4349
0.3726 -0.4347
0.3800 -0.4353
0.3883 -0.4336
